,Player,team_name,sub_position,Nation,Age,minutes_played,competition,matches_played,Starts,Rank_Defensive Duels SEPI,Rank_Aerial SEPI,Rank_Passing SEPI,Rank_p90_pmin_errors,Rank_p90_pmin_ball_recoveries,Rank_p90_pmin_Gls,Rank_p90_pmin_Ast,Rank_p90_pmin_shot_creating_actions_p90,Rank_G-xG,Rank_p90_pmin_interceptions,Rank_p90_pmin_progressive_passes,Rank_p90_pmin_dispossessed,Rank_p90_pmin_errors,Rank_p90_pmin_key_passes,Rank_Dribble SEPI,Position Specific Index,Team Final League Ranking
0,Yunis Abdelhamid,Reims,Centre-Back,ma MAR,34,3330,fr Ligue 1,37,37,0.713165266,0.714845938,0.495238095,0.457142857,0.913165266,0.474789916,0.805042017,0.453221289,0.053251121,0.746778711,0.941176471,0.949019608,0.457142857,0.8,0.535014006,0.475854342,11
1,Yunis Abdelhamid,Reims,Centre-Back,ma MAR,33,2983,fr Ligue 1,34,34,0.338935574,0.528851541,0.360784314,0.228011204,0.686834734,0.685714286,0.321848739,0.192156863,0.885369955,0.878991597,0.642016807,0.851540616,0.228011204,0.665546218,0.816246499,0.337478992,12
2,Yunis Abdelhamid,Reims,Centre-Back,ma MAR,32,2889,fr Ligue 1,33,33,0.704761905,0.731652661,0.633613445,0.228011204,0.777591036,0.844257703,0.321848739,0.115406162,0.918441704,0.821848739,0.506442577,0.83697479,0.228011204,0.256022409,0.145658263,0.523921569,14
3,Yunis Abdelhamid,Reims,Centre-Back,ma MAR,31,2520,fr Ligue 1,28,28,0.897478992,0.72605042,0.591596639,0.533053221,0.398039216,0.883473389,0.321848739,0.408683473,0.940022422,0.719327731,0.606162465,0.524369748,0.533053221,0.442857143,0.924369748,0.416022409,6
4,Yunis Abdelhamid,Reims,Centre-Back,ma MAR,30,3420,fr Ligue 1,38,38,0.310364146,0.682352941,0.355742297,0.228011204,0.530812325,0.236134454,0.321848739,0.136134454,0.031390135,0.73557423,0.136694678,0.474789916,0.228011204,0.145658263,0.927170868,0.330252101,8
5,Francesco Acerbi,Inter,Centre-Back,it ITA,34,2425,it Serie A,31,25,0.346218487,0.778711485,0.812885154,0.769187675,0.608963585,0.236134454,0.880672269,0.708123249,0.124439462,0.622408964,0.668907563,0.695798319,0.769187675,0.932773109,0.394397759,0.355518207,3
6,Francesco Acerbi,Lazio,Centre-Back,it ITA,33,2536,it Serie A,30,29,0.103641457,0.616246499,0.908683473,0.228011204,0.649859944,0.945378151,0.321848739,0.240896359,0.962724215,0.355742297,0.781512605,0.429131653,0.228011204,0.43977591,0.38627451,0.410084034,5
7,Francesco Acerbi,Lazio,Centre-Back,it ITA,32,2813,it Serie A,32,32,0.644817927,0.756302521,0.842016807,0.70280112,0.933893557,0.236134454,0.683473389,0.458263305,0.101457399,0.96302521,0.819607843,0.78487395,0.70280112,0.764145658,0.529411765,0.494845938,6
8,Francesco Acerbi,Lazio,Centre-Back,it ITA,31,3162,it Serie A,36,36,0.110364146,0.514285714,0.819047619,0.467787115,0.426890756,0.670028011,0.817366947,0.417927171,0.357623318,0.346778711,0.788795518,0.576470588,0.467787115,0.570868347,0.854901961,0.280560224,4
9,Francesco Acerbi,Lazio,Centre-Back,it ITA,30,3309,it Serie A,37,37,0.793277311,0.825770308,0.636414566,0.458263305,0.754621849,0.803361345,0.648739496,0.272268908,0.357623318,0.708683473,0.658263305,0.620728291,0.458263305,0.666666667,0.668347339,0.510364146,8
10,Tosin Adarabioyo,Fulham,Centre-Back,eng ENG,24,2085,eng Premier League,25,23,0.050980392,0.821848739,0.471148459,0.582633053,0.31092437,0.59719888,0.321848739,0.489355742,0.747477578,0.284033613,0.758543417,0.505882353,0.582633053,0.63837535,0.533893557,0.214453782,10
11,Tosin Adarabioyo,Fulham,Centre-Back,eng ENG,22,2953,eng Premier League,33,33,0.163585434,0.8,0.672829132,0.680112045,0.192717087,0.236134454,0.321848739,0.119887955,0.101457399,0.416246499,0.261064426,0.466106443,0.680112045,0.347338936,0.740616246,0.229803922,18
12,Emmanuel Agbadou,Reims,Centre-Back,ci CIV,25,2388,fr Ligue 1,29,27,0.964145658,0.614005602,0.653221289,0.887955182,0.997759104,0.236134454,0.959103641,0.640336134,0.024663677,0.354621849,0.87394958,0.904761905,0.887955182,0.895798319,0.39719888,0.468235294,11
13,Nayef Aguerd,West Ham,Centre-Back,ma MAR,26,1595,eng Premier League,18,17,0.754621849,0.182072829,0.217927171,0.88627451,0.7,0.899719888,0.321848739,0.646498599,0.496636771,0.204201681,0.047619048,0.854341737,0.88627451,0.786554622,0.49859944,0.193669468,14
14,Nayef Aguerd,Rennes,Centre-Back,ma MAR,25,2735,fr Ligue 1,31,31,0.514285714,0.810084034,0.881232493,0.508963585,0.418487395,0.728011204,0.850980392,0.104761905,0.575952915,0.085714286,0.578151261,0.394397759,0.508963585,0.277030812,0.541736695,0.42302521,4
15,Nayef Aguerd,Rennes,Centre-Back,ma MAR,24,3147,fr Ligue 1,35,35,0.878991597,0.792156863,0.928851541,0.228011204,0.616806723,0.817366947,0.656022409,0.110364146,0.496636771,0.471708683,0.703641457,0.73557423,0.228011204,0.312605042,0.682913165,0.597759104,6
16,Nayef Aguerd,Dijon,Centre-Back,ma MAR,23,957,fr Ligue 1,11,11,0.716806723,0.981512605,0.492436975,0.228011204,0.451540616,0.845938375,0.321848739,0.531652661,0.863789238,0.724369748,0.343417367,0.731372549,0.228011204,0.035854342,0.662184874,0.482857143,16
17,Nayef Aguerd,Dijon,Centre-Back,ma MAR,22,1050,fr Ligue 1,13,12,0.830252101,0.82464986,0.218487395,0.800840336,0.385714286,0.993277311,0.321848739,0.768627451,0.956838565,0.35070028,0.400560224,0.872829132,0.800840336,0.417086835,0.900280112,0.291652661,18
18,Joseph Aidoo,Celta Vigo,Centre-Back,gh GHA,26,3119,es La Liga,35,35,0.834733894,0.157422969,0.641456583,0.228011204,0.76302521,0.819607843,0.321848739,0.017366947,0.979540359,0.145658263,0.4,0.695238095,0.228011204,0.102521008,0.428571429,0.43372549,13
19,Joseph Aidoo,Celta Vigo,Centre-Back,gh GHA,25,2637,es La Liga,32,30,0.688515406,0.399439776,0.394957983,0.851540616,0.607843137,0.236134454,0.321848739,0.162464986,0.420683857,0.429691877,0.680112045,0.589355742,0.851540616,0.506442577,0.735014006,0.247843137,11
